Tickers,PE_Ratio,Current_Price,Earnings_Per_Share
AMZN,57.98,3599.919921875,62.088994858140744
AAPL,28.56,145.63999938964844,5.099439754539511
GOOG,29.34,2730.81005859375,93.0746441238497
MSFT,35.39,286.5,8.09550720542526
NFLX,53.63,514.25,9.588849524519858
V,49.83,247.9199981689453,4.975316037907793
PYPL,67.22,283.1700134277344,4.212585739775876
MA,59.21,388.80999755859375,6.566627217675963
ADBE,53.87,621.7000122070312,11.540746467552093
INTC,11.93,53.70000076293945,4.501257398402301
CRM,51.01,244.0399932861328,4.784159837014954
AVGO,45.12,484.1099853515625,10.729387973217255
ACN,35.5,318.3500061035156,8.967605805732834
TXN,26.58,189.8300018310547,7.141836035780839
QCOM,18.72,150.99000549316406,8.06570542164338
ORCL,19.15,87.62999725341797,4.575978968846892
INTU,67.19,525.510009765625,7.821253308016447
AMAT,29.14,137.5,4.71859986273164
AMD,37.43,102.94999694824219,2.7504674578744908
NOW,691.64,586.4299926757812,0.8478832812963121
SQ,345.82,255.27999877929688,0.7381874928555228
MU,21.41,77.08000183105469,3.600186914108112
FB,26.46,358.32000732421875,13.541950390182114
LRCX,23.7,619.6300048828125,26.14472594442247
ADP,34.54,208.8300018310547,6.04603363726273
